date,Qin,Qout
2019-10-12 00:00:00,123.36688201292115,507.9138202837648
2019-10-12 00:10:00,125.4199870174034,507.9138202837648
2019-10-12 00:20:00,133.47089610831227,502.7038647112236
2019-10-12 00:30:00,144.09229266483254,492.28395356614124
2019-10-12 00:40:00,159.25059503570182,481.8640424210589
2019-10-12 00:50:00,192.55652066396715,472.9522763101336
2019-10-12 01:00:00,225.8624462922325,464.04051019920826
2019-10-12 01:10:00,248.85722234243227,468.70204939569203
2019-10-12 01:20:00,269.2742109981156,482.4124587971152
2019-10-12 01:30:00,281.2506568575945,494.59187248204637
2019-10-12 01:40:00,280.5662885227666,500.6473033010093
2019-10-12 01:50:00,279.8819201879387,506.7027341199722
2019-10-12 02:00:00,278.3991221291464,507.63961209573546
2019-10-12 02:10:00,276.91632407035405,507.2968518606988
2019-10-12 02:20:00,276.3889042069804,501.8702718196149
2019-10-12 02:30:00,276.4984031405525,488.8179620694601
2019-10-12 02:40:00,275.9924268183366,475.76565231930533
2019-10-12 02:50:00,269.9471731940286,468.90770553671314
2019-10-12 03:00:00,263.9019195697206,462.7380213060723
2019-10-12 03:10:00,260.0922691725153,459.6531791907519
2019-10-12 03:20:00,257.2407344440682,459.6531791907519
2019-10-12 03:30:00,259.9325832277226,459.6531791907519
2019-10-12 03:40:00,275.5589935396136,459.6531791907519
2019-10-12 03:50:00,291.18540385150453,459.6531791907519
2019-10-12 04:00:00,289.1551111248501,459.6531791907519
2019-10-12 04:10:00,285.162962505024,459.6531791907519
2019-10-12 04:20:00,293.295539550556,459.6531791907519
2019-10-12 04:30:00,313.5528422614462,459.6531791907519
2019-10-12 04:40:00,333.81014497233633,459.6531791907519
2019-10-12 04:50:00,335.8632499768182,459.6531791907519
2019-10-12 05:00:00,337.91635498130006,459.6531791907519
2019-10-12 05:10:00,347.22376433495225,459.6531791907519
2019-10-12 05:20:00,361.36737658805123,459.6531791907519
2019-10-12 05:30:00,373.93694167104735,459.6531791907519
2019-10-12 05:40:00,380.2103180736317,459.6531791907519
2019-10-12 05:50:00,386.48369447621604,459.6531791907519
2019-10-12 06:00:00,409.8133547649238,464.10906224621453
2019-10-12 06:10:00,437.4070860251624,471.53553400531894
2019-10-12 06:20:00,470.5902957678311,482.741508622749
2019-10-12 06:30:00,516.8156219695034,509.06549467348157
2019-10-12 06:40:00,563.0409481711757,535.3894807242141
2019-10-12 06:50:00,619.7684236435327,569.1193729199496
2019-10-12 07:00:00,676.4958991158899,606.0232248921147
2019-10-12 07:10:00,774.5594553855055,647.3295457961596
2019-10-12 07:20:00,871.5694084228791,698.9082942079231
2019-10-12 07:30:00,893.5030957359838,750.4870426196867
2019-10-12 07:40:00,915.4367830490885,837.7275929680941
2019-10-12 07:50:00,935.2054227559876,922.7268142006428
2019-10-12 08:00:00,954.9740624628866,987.5540733904629
2019-10-12 08:10:00,967.4394114555962,1046.8365578307835
2019-10-12 08:20:00,975.0358999721792,1083.9399432731047
2019-10-12 08:30:00,977.0853839801804,1121.0433287154262
2019-10-12 08:40:00,956.946849953854,1146.3522335235195
2019-10-12 08:50:00,951.7000170010205,1171.6611383316128
2019-10-12 09:00:00,1080.4784937096229,1174.1210472628359
2019-10-12 09:10:00,1129.7096897750623,1166.7885293896861
2019-10-12 09:20:00,1170.1022991023726,1159.4560115165361
2019-10-12 09:30:00,1213.2566109584866,1154.974759041516
2019-10-12 09:40:00,1258.2520578338033,1150.810313832955
2019-10-12 09:50:00,1307.5543494100332,1160.9177693912325
2019-10-12 10:00:00,1366.9059452883944,1177.1417538495834
2019-10-12 10:10:00,1426.2575411667556,1197.0071540222968
2019-10-12 10:20:00,1461.0788538221386,1225.3691908618553
2019-10-12 10:30:00,1495.9001664775215,1253.7312277014137
2019-10-12 10:40:00,1536.5874934314245,1323.7409077080506
2019-10-12 10:50:00,1581.1854965843406,1393.7505877146878
2019-10-12 11:00:00,1624.3463262341195,1412.7631920562508
2019-10-12 11:10:00,1661.7584618713486,1431.7757963978138
2019-10-12 11:20:00,1699.1705975085777,1453.155145782577
2019-10-12 11:30:00,1737.6631226237212,1475.5488144715684
2019-10-12 11:40:00,1776.425745108343,1495.831080112741
2019-10-12 11:50:00,1813.0380822849374,1511.1867386423355
2019-10-12 12:00:00,1844.6330870761342,1526.54239717193
2019-10-12 12:10:00,1876.2280918673307,1551.458781190784
2019-10-12 12:20:00,1895.5044666316346,1578.7653465819528
2019-10-12 12:30:00,1913.4121047262838,1606.9402379018784
2019-10-12 12:40:00,1936.7946894995519,1636.4176181149392
2019-10-12 12:50:00,1965.652220951439,1665.894998328
2019-10-12 13:00:00,1992.8216438440854,1683.0330100797792
2019-10-12 13:10:00,2004.7980897035643,1700.1710218315582
2019-10-12 13:20:00,2016.7745355630432,1722.1762289208432
2019-10-12 13:30:00,2049.4349398513323,1747.4262329017986
2019-10-12 13:40:00,2090.959897751968,1774.975015525726
2019-10-12 13:50:00,2147.4310563896993,1811.7189127215408
2019-10-12 14:00:00,2226.3215161330736,1848.4628099173556
2019-10-12 14:10:00,2295.289454510128,1888.2778388190895
2019-10-12 14:20:00,2354.3348715208635,1929.40906702336
2019-10-12 14:30:00,2417.778206017037,1971.3629197917162
2019-10-12 14:40:00,2487.8184167413688,2015.2362298762719
2019-10-12 14:50:00,2584.448292611843,2059.1095399608275
2019-10-12 15:00:00,2734.914434866092,2113.5741413079827
2019-10-12 15:10:00,2806.5969858191493,2169.215552795427
2019-10-12 15:20:00,2864.6949716231097,2218.8586601697484
2019-10-12 15:30:00,2919.3968161397956,2262.503463430947
